Text,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
3483,Text,10/1/2002,Widger's Quotations from the Project Gutenberg Editions of the Works of William Dean Howells,en,"Howells, William Dean, 1837-1920; Widger, David, 1932-2021? [Editor]",Quotations,PS,Project Gutenberg
7546,Text,8/27/2004,Quotes and Images From The Works of William Dean Howells,en,"Howells, William Dean, 1837-1920; Widger, David, 1932-2021? [Editor]",Quotations,PS,
12791,Text,6/30/2004,Wells Brothers: The Young Cattle Kings,en,"Adams, Andy, 1859-1935",Historical fiction; Western stories; Ranch life -- Fiction,PS,Western
15351,Text,3/13/2005,H. G. Wells,en,"Beresford, J. D. (John Davys), 1873-1947","Wells, H. G. (Herbert George), 1866-1946 -- Criticism and interpretation",PR,
25383,Text,5/7/2008,"Boy Life
Stories and Readings Selected From The Works of William Dean Howells",en,"Howells, William Dean, 1837-1920; Chubb, Percival, 1860-1960 [Editor]",Boys,HQ; PZ,
30882,Text,1/7/2010,God and Mr. Wells: A Critical Examination of 'God the Invisible King',en,"Archer, William, 1856-1924","Wells, H. G. (Herbert George), 1866-1946. God the invisible king",BT,
108,Text,3/8/2006,The Return of Sherlock Holmes,en,"Doyle, Arthur Conan, 1859-1930","Holmes, Sherlock (Fictitious character) -- Fiction; Detective and mystery stories, English",PR,Detective Fiction
221,Text,2/1/1995,The Return of Sherlock Holmes,en,"Doyle, Arthur Conan, 1859-1930","Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction; Detective and mystery stories, English",PR,Detective Fiction
1661,Text,3/1/1999,The Adventures of Sherlock Holmes,en,"Doyle, Arthur Conan, 1859-1930","Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction; Detective and mystery stories, English",PR,Detective Fiction; Contemporary Reviews; Banned Books from Anne Haight's list
2350,Text,10/1/2000,His Last Bow: An Epilogue of Sherlock Holmes,en,"Doyle, Arthur Conan, 1859-1930","Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction; Detective and mystery stories",PR,Detective Fiction
8624,Sound,8/1/2005,The Adventures of Sherlock Holmes,en,"Doyle, Arthur Conan, 1859-1930","Holmes, Sherlock (Fictitious character) -- Fiction; Private investigators -- England -- Fiction; Detective and mystery stories, English",PR,
5851,Text,6/1/2004,"Memoirs of General W. T. Sherman, Volume I., Part 2",en,"Sherman, William T. (William Tecumseh), 1820-1891","Generals -- United States -- Biography; United States -- History -- Civil War, 1861-1865 -- Campaigns; Sherman, William T. (William Tecumseh), 1820-1891; United States -- History -- Civil War, 1861-1865 -- Personal narratives; United States. Army -- Biography",E456,US Civil War
5853,Text,6/1/2004,"Memoirs of General W. T. Sherman, Volume II., Part 4",en,"Sherman, William T. (William Tecumseh), 1820-1891","Generals -- United States -- Biography; United States -- History -- Civil War, 1861-1865 -- Campaigns; Sherman, William T. (William Tecumseh), 1820-1891; United States -- History -- Civil War, 1861-1865 -- Personal narratives; United States. Army -- Biography",E456,US Civil War
